GROUP      MJD  STAR   system  B   EB     V   EV     R   ER     I   EI
#1 53973.1178    0 nickel1 17.84     0.02  17.74     0.01  17.56     0.01  17.44     0.02
2 53994.1336    0 nickel1   NaN      NaN    NaN      NaN  17.56     0.02  17.27     0.02
3 53995.0216    0 nickel1 18.60     0.03  17.90     0.01  17.59     0.01  17.22     0.02
4 54029.0357    0 nickel1 18.94     0.03  17.94     0.01  17.48     0.01  17.07     0.01
5 54030.0557    0 nickel1 19.20     0.02  17.94     0.01  17.50     0.01    NaN      NaN
6 54063.9615    0 nickel1   NaN      NaN  18.81     0.04    NaN      NaN    NaN      NaN
7 53966.4534    0  kait3 17.71     0.02  17.66     0.04  17.42     0.04  17.25     0.07
8 53968.4981    0  kait3 17.78     0.02  17.68     0.04  17.37     0.04  17.16     0.07
9 53970.4370    0  kait3 17.83     0.02  17.70     0.03  17.38     0.03  17.17     0.05
10 53972.4356    0 kait3 17.89     0.03  17.68     0.04  17.38     0.04  17.11     0.06
