GROUP	MJD	STAR	SYSTEM	B	EB	V	EV	R	ER	I	EI
1	54408.3711	0	kait4	14.29	0.01	14.18	0.01	14.03	0.01	13.84	0.01
2	54410.2435	0	kait4	14.33	0.01	14.24	0.01	14.06	0.01	13.88	0.01
3	54412.2656	0	kait4	14.43	0.01	14.28	0.01	14.1	0.01	13.92	0.01
4	54414.1976	0	kait4	14.51	0.01	14.33	0.01	14.13	0.01	13.94	0.01
5	54416.2162	0	kait4	14.59	0.01	14.36	0.01	14.15	0.01	13.98	0.01
6	54418.2233	0	kait4	14.67	0.01	14.42	0.01	14.18	0.01	13.99	0.01
7	54421.1914	0	kait4	14.97	0.03	14.53	0.09	14.2	0.01	14.03	0.01
8	54427.2001	0	kait4	15.19	0.02	14.61	0.01	14.27	0.01	14.06	0.01
10	54438.2		0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	14.1	0.03
11	54443.2188	0	kait4	15.55	0.01	14.82	0.01	14.39	0.01	14.14	0.01
12	54447.1715	0	kait4	15.62	0.01	14.88	0.01	14.42	0.01	14.08	0.13
13	54458.1687	0	kait4	15.86	0.02	15.04	0.01	14.52	0.01	14.11	0.17
14	54466.0946	0	kait4	16.08	0.01	15.19	0.01	14.64	0.01	14.36	0.01
15	54478.1015	0	kait4	16.45	0.01	15.45	0.01	14.85	0.01	14.54	0.01
16	54482.1273	0	kait4	NaN	NaN	NaN	NaN	15.06	0.04	14.52	0.05
17	54501.1398	0	kait4	17.25	0.03	16.13	0.02	15.43	0.01	15.12	0.01
18	54506.1216	0	kait4	17.43	0.12	16.5	0.06	15.71	0.07	15.35	0.04
1	54448.836	0	nickel1	NaN	NaN	14.83	0.01	14.42	0.01	14.16	0.02
2	54449.8543	0	nickel1	15.7	0.01	NaN	NaN	14.44	0.02	14.18	0.03
3	54413.9509	0	nickel1	14.5	0.01	14.29	0.01	14.14	0.04	13.92	0.01
4	54421.9658	0	nickel1	NaN	NaN	NaN	NaN	NaN	NaN	13.98	0.01
5	54430.7763	0	nickel1	15.3	0.06	14.71	0.07	14.35	0.07	14.06	0.01
6	54477.8166	0	nickel1	NaN	NaN	15.43	0.03	NaN	NaN	14.54	0.04
#7	54712.0531	0	nickel1	NaN	NaN	21.78	0.09	21.17	0.3	21.38	0.45
#11	54714.038	0	nickel1	22.83	0.41	22.44	0.35	21.73	0.35	21.46	0.51
#8	54719.0284	0	nickel1	NaN	NaN	22.01	0.49	21.91	0.47	20.95	0.3
