GROUP	MJD	STAR	SYSTEM	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
1	54525.009	0	kait4	16.03	0.01	15.99	0.02	15.9	0.02	15.73	0.02	15.77	0.02
2	54534.4893	0	kait4	16.1	0.02	15.86	0.02	15.67	0.02	15.57	0.02	15.4	0.02
3	54567.4081	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	16.23	0.03	NaN	NaN
4	54582.3193	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	16.41	0.03	NaN	NaN
5	54591.3562	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	16.59	0.04	NaN	NaN
6	54610.2833	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	17.12	0.48	NaN	NaN
7	54623.2169	0	kait4	20.79	9.99	18.87	0.16	18.02	0.08	18.07	0.15	17.76	0.08
#8	54633.2121	0	kait4	19.88	0.33	19.49	0.14	18.28	0.06	18.22	0.1	17.9	0.1
9	54644.202	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.11	0.17	NaN	NaN
10	54860.5458	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.97	0.51	NaN	NaN
11	54882.5197	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.59	9.99	NaN	NaN
12	55937.5932	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.71	0.26	NaN	NaN
13	55944.4977	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.65	9.99	NaN	NaN
14	55945.5944	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.83	9.99	NaN	NaN
15	55951.4284	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.6	0.49	NaN	NaN
16	55959.4603	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	23.82	9.99	NaN	NaN
17	55978.3733	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.82	0.5	NaN	NaN
18	55980.4529	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.87	0.45	NaN	NaN
19	55982.4716	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	17.33	0.15	NaN	NaN
20	55993.3766	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.19	9.99	NaN	NaN
21	56040.3986	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.53	9.99	NaN	NaN
22	56054.3413	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.68	9.99	NaN	NaN
23	56065.308	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.74	9.99	NaN	NaN
24	56067.2611	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.35	9.99	NaN	NaN
25	56069.3355	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.66	9.99	NaN	NaN
26	56071.2743	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.59	0.55	NaN	NaN
27	56073.2913	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	16.99	0.53	NaN	NaN
28	56076.2669	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	22.97	9.99	NaN	NaN
29	56092.2756	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.97	0.51	NaN	NaN
30	56098.2595	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.31	9.99	NaN	NaN
31	56104.1898	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	15.44	0.08	NaN	NaN
32	56108.191	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.34	9.99	NaN	NaN
33	56117.1879	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.08	9.99	NaN	NaN
34	56308.5449	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.98	9.99	NaN	NaN
35	56322.3936	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	17.93	0.5	NaN	NaN
36	56361.4151	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.11	0.53	NaN	NaN
37	56364.412	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.56	9.99	NaN	NaN
38	56375.3721	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.06	1.03	NaN	NaN
39	56388.3326	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.13	9.99	NaN	NaN
40	56396.3173	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	23.07	9.99	NaN	NaN
41	56404.3116	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.27	9.99	NaN	NaN
42	56421.2518	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.87	0.36	NaN	NaN
43	56423.2556	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.32	9.99	NaN	NaN
44	56442.2074	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.68	9.99	NaN	NaN
45	56449.2884	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.03	0.56	NaN	NaN
46	56662.6027	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	22.27	9.99	NaN	NaN
47	56663.5631	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	17.76	0.48	NaN	NaN
48	56668.5608	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	16.85	0.49	NaN	NaN
49	56709.4977	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.42	0.25	NaN	NaN
50	56711.3696	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	22.51	9.99	NaN	NaN
51	56737.4438	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.42	0.46	NaN	NaN
52	56741.4642	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.17	9.99	NaN	NaN
53	56753.4619	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.62	9.99	NaN	NaN
54	56764.4093	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.18	9.99	NaN	NaN
55	56799.3256	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.88	9.99	NaN	NaN
56	56802.3158	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.24	9.99	NaN	NaN
57	56808.3052	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.62	1.42	NaN	NaN
58	56811.2492	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.11	0.57	NaN	NaN
59	56814.2211	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.61	9.99	NaN	NaN
60	56819.1865	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.82	0.9	NaN	NaN
61	56822.226	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.25	0.45	NaN	NaN
62	57065.5154	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.4	0.49	NaN	NaN
63	57067.5684	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.0	9.99	NaN	NaN
64	57071.5536	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.48	0.34	NaN	NaN
65	57076.5261	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.96	0.53	NaN	NaN
66	57078.5546	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	23.5	9.99	NaN	NaN
67	57083.5156	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	23.76	9.99	NaN	NaN
68	57084.5074	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.76	0.39	NaN	NaN
69	57106.5003	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.43	0.45	NaN	NaN
70	57112.3787	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.63	9.99	NaN	NaN
71	57114.3946	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.61	0.39	NaN	NaN
72	57123.4458	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.08	9.99	NaN	NaN
73	57134.4152	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.43	9.99	NaN	NaN
74	57139.3669	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.94	9.99	NaN	NaN
75	57140.3599	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	18.87	0.45	NaN	NaN
76	57165.2892	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.25	0.31	NaN	NaN
77	57167.284	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.12	9.99	NaN	NaN
78	57168.2945	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.1	0.43	NaN	NaN
79	57169.2666	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.62	9.99	NaN	NaN
80	57188.1945	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.73	9.99	NaN	NaN
81	57429.5694	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.37	9.99	NaN	NaN
82	57462.5227	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	17.31	0.58	NaN	NaN
83	57477.4774	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	23.28	9.99	NaN	NaN
84	57481.4627	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	21.06	9.99	NaN	NaN
85	57485.4451	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	16.67	0.42	NaN	NaN
86	57517.3751	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	23.43	9.99	NaN	NaN
87	57520.3109	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.4	0.36	NaN	NaN
88	57536.2787	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.13	0.56	NaN	NaN
89	57540.2702	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	20.64	0.57	NaN	NaN
90	57541.2575	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.95	0.39	NaN	NaN
91	57545.2641	0	kait4	NaN	NaN	NaN	NaN	NaN	NaN	19.92	0.55	NaN	NaN
