GROUP	MJD	STAR	SYSTEM	CLEAR	ECLEAR	B	EB	V	EV	R	ER	I	EI
1	54896.9558	0	kait4	15.91	0.56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	54919.3599	0	kait4	16.11	0.02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	54926.3113	0	kait4	16.07	0.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	54942.3451	0	kait4	16.25	0.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	54961.3498	0	kait4	17.53	0.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	54866.1338	0	nickel2	NaN	NaN	16.84	0.01	16.34	0.01	15.99	0.01	15.73	0.01
2	54898.2166	0	nickel2	NaN	NaN	17.7	0.01	16.52	0.01	15.99	0.01	15.47	0.01
3	54914.0804	0	nickel2	NaN	NaN	NaN	NaN	16.56	0.01	15.92	0.01	NaN	NaN
4	54921.0579	0	nickel2	NaN	NaN	18.24	0.02	16.61	0.01	15.94	0.01	15.44	0.01
5	54940.0512	0	nickel2	NaN	NaN	18.51	0.02	16.85	0.01	16.16	0.01	15.66	0.01
