MJD       Mag    DMag
51481.3  13.718 0.011   
51483.2  13.654 0.015   
51484.3  13.629 0.011   
51485.3  13.623 0.015   
51486.3  13.628 0.015   
51487.3  13.621 0.015   
51488.3  13.630 0.015   
51489.3  13.683 0.015   
51490.3  13.618 0.015   
51492.3  13.579 0.015   
51493.2  13.563 0.015   
51495.2  13.547 0.015   
51498.1  13.547 0.015   
51498.3  13.667 0.015  
51499.3  13.670 0.015  
51500.2  13.611 0.015   
51501.2  13.586 0.015   
51502.2  13.545 0.015   
51504.2  13.584 0.015   
51506.3  13.620 0.015   
51508.3  13.619 0.015   
51509.4  13.626 0.015   
51511.4  13.626 0.007   
51522.2  13.606 0.013   
51531.3  13.571 0.009   
51538.1  13.559 0.015   
51540.0  13.583 0.015   
51546.0  13.568 0.015   
51550.0  13.556 0.015   
51551.1  13.542 0.015   
51556.1  13.557 0.015   
51578.1  13.844 0.008   
51607.1  15.506 0.019   
51636.0  15.704 0.015   
51666.0  15.977 0.015  
51481.44 13.67  0.02 
51482.44 13.62  0.03 
51483.44 13.60  0.02 
51484.44 13.59  0.02 
51485.12 13.67  0.01   
51485.31 13.65  0.01   
51485.44 13.57  0.02 
51486.12 13.71  0.01   
51486.23 13.68  0.01   
51487.07 13.83  0.03   
51487.44 13.59  0.02 
51488.44 13.58  0.02 
51489.44 13.58  0.05 
51491.44 13.54  0.05 
51493.44 13.53  0.02 
51494.44 13.52  0.02 
51495.44 13.53  0.01 
51496.44 13.56  0.06 
51498.28 13.600 0.015  
51498.44 13.56  0.07 
51499.31 13.599 0.015  
51501.44 13.56  0.03 
51508.44 13.57  0.02 
51510.44 13.59  0.02 
51511.35 13.633 0.015 
51514.44 13.56  0.02 
51516.44 13.54  0.02 
51517.30 13.64  0.01   
51518.44 13.55  0.03 
51520.34 13.54  0.02 
51522.20 13.618 0.015  
51523.04 13.50  0.01   
51523.34 13.51  0.03 
51525.01 13.52  0.01   
51526.04 13.49  0.01   
51526.34 13.50  0.03 
51527.07 13.50  0.01   
51527.34 13.52  0.02 
51530.23 13.55  0.01   
51530.34 13.50  0.03 
51531.26 13.577 0.015  
51538.09 13.54  0.01   
51540.00 13.51  0.01   
51541.21 13.61  0.01   
51541.34 13.50  0.03 
51546.34 13.51  0.02 
51548.01 13.55  0.01   
51551.24 13.50  0.02 
51556.24 13.51  0.02 
51570.24 13.60  0.04 
51574.94 13.80  0.01   
51576.24 13.69  0.04 
51578.13 13.828 0.015  
51581.24 13.77  0.02 
51583.82 14.05  0.02   
51590.03 14.11  0.01   
51604.24 15.04  0.12 
51607.14 15.541 0.015  
51607.24 15.27  0.03 
51614.14 15.40  0.04 
51616.00 15.57  0.02   
51619.14 15.42  0.03 
51624.14 15.41  0.03 
51629.24 15.47  0.03 
51635.54 15.721 0.015  
51637.24 15.61  0.03 
51642.02 15.76  0.01   
51665.47 15.999 0.015  
51781.54 16.79  0.06 
51787.21 17.16  0.01   
51788.40 17.18  0.02   
51796.10 17.37  0.03   
51796.54 16.82  0.06 
51803.54 16.81  0.06 
51810.54 16.85  0.06 
51812.54 16.97  0.06 
51828.54 17.05  0.08 
51830.44 17.15  0.07 
51866.27 18.05  0.04   
51874.03 18.22  0.12   
51930.91 18.93  0.55   
51941.15 18.86  0.04   
51985.03 19.47  0.08   
52129.41 21.72  0.20   

