MJD        Mag     DMag  magsys  Telescope  Detector  Survey Source
53389.25  16.771   0.009   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53390.25  16.752   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53391.25  16.760   0.010   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53393.25  16.746   0.011   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53395.25  16.770   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53397.25  16.763   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53402.25  16.761   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53403.25  16.753   0.008   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53404.25  16.765   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53406.25  16.793   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53407.25  16.786   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53408.25  16.815   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53409.25  16.822   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53410.25  16.828   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53411.25  16.853   0.011   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53412.25  16.847   0.011   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53413.25  16.849   0.016   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53414.25  16.873   0.011   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53415.25  16.885   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53416.50  16.917   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53417.25  16.919   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53418.25  16.915   0.019   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53419.25  16.926   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53420.25  16.952   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53421.25  16.963   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53422.25  16.934   0.040   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53424.25  16.960   0.018   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53425.25  17.021   0.018   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53426.25  17.033   0.028   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53427.25  16.985   0.025   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53428.25  17.020   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53429.50  17.032   0.017   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53431.25  17.046   0.014   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53436.25  17.077   0.010   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53444.25  17.112   0.010   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53445.25  17.129   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53446.25  17.117   0.010   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53452.25  17.165   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53453.25  17.180   0.018   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53455.25  17.150   0.016   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53456.25  17.182   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53457.25  17.189   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53458.25  17.191   0.013   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53459.25  17.198   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53464.25  17.219   0.011   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53465.25  17.249   0.012   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53466.25  17.259   0.010   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53468.25  17.281   0.011   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53472.25  17.343   0.011   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
53474.00  17.348   0.010   AB  Swope-1m  SITe3-CCD  CSP-II (Contreras-Anderson)
